,MAE,RMSE,RMSPE
Linear Regression,999.6482946012969,1375.7749375290123,0.22856327066162982
Decision Tree,905.5827405247813,1318.5324676756613,0.19180896452517535
Random Forest,633.0730106469393,914.1691357330607,0.13229823023673074
Gradient Boosting,735.2034403687883,1030.8631173667463,0.16997585151453032
XGBoost,693.3369140625,968.866476868717,0.1542669019811311
